# danRer7.unannotated.name	danRer7.unannotated.chrom	danRer7.unannotated.strand	danRer7.unannotated.txStart	danRer7.unannotated.txEnd	danRer7.unannotated.cdsStart	danRer7.unannotated.cdsEnd	danRer7.unannotated.exonCount	danRer7.unannotated.exonStarts	danRer7.unannotated.exonEnds	danRer7.unannotated.name2	danRer7.unannotated.product	danRer7.unannotated.mrnaAcc	danRer7.unannotated.protAcc
NM_001115059-56|chr24(+)	chr24	+	450048	480816	450111	480479	8	450048,471726,472839,473363,476001,478132,478434,480353	450208,471963,473070,473531,476158,478257,478565,480816	tgfbr1b	TGF-beta receptor type-1 precursor	NM_001115059	NM_001115059-56|chr24(+)
NM_001020636-57|chr24(+)	chr24	+	1036478	1049024	1036657	1048944	15	1036478,1036913,1038273,1038433,1040931,1041165,1041334,1042486,1042656,1042819,1043614,1045918,1046652,1047574,1048688	1036679,1037014,1038346,1038488,1041064,1041194,1041406,1042561,1042733,1042885,1043726,1046117,1046754,1047677,1049024	zgc:111976	mediator of RNA polymerase II transcription subunit 1-like	NM_001020636	NM_001020636-57|chr24(+)
NM_131193-58|chr24(+)	chr24	+	13829261	13919591	13838226	13917231	18	13829261,13838222,13846246,13851512,13852814,13854466,13870040,13870496,13873349,13875870,13888457,13910061,13910204,13910548,13911154,13911909,13917150,13918384	13829513,13838350,13846324,13851579,13852960,13854589,13870123,13870683,13873492,13875954,13888547,13910120,13910365,13910663,13911276,13912010,13918359,13919591	eya1	eyes absent homolog 1	NM_131193	NM_131193-58|chr24(+)
NM_001080590-59|chr24(+)	chr24	+	22148886	22186211	22164156	22185334	8	22148886,22164123,22168924,22171415,22175529,22176693,22183210,22185176	22148932,22164289,22169059,22171569,22175647,22176875,22183521,22186211	wasf3	wiskott-Aldrich syndrome protein family member 3	NM_001080590	NM_001080590-59|chr24(+)
NM_001002229-60|chr24(+)	chr24	+	32591610	32638876	32591690	32638069	5	32591610,32598453,32598731,32621621,32637991	32591747,32598645,32598842,32621774,32638876	zgc:92458	sorting nexin-7	NM_001002229	NM_001002229-60|chr24(+)
NM_214803-61|chr24(+)	chr24	+	37514755	37524019	37514755	37523253	4	37514755,37514968,37520822,37523106	37514877,37515099,37520890,37524019	zgc:92392	guanine nucleotide-binding protein G(olf)	NM_214803	NM_214803-61|chr24(+)
NM_001001838-62|chr24(+)	chr24	+	43770845	43780377	43770845	43780260	6	43770845,43771866,43773440,43774151,43775812,43780157	43770974,43771935,43773555,43774279,43775907,43780377	top1mt	DNA topoisomerase I, mitochondrial precursor	NM_001001838	NM_001001838-62|chr24(+)
NM_001122698-63|chr25(+)	chr25	+	281604	290037	282196	289746	16	281604,282192,282576,283902,284096,285716,285921,286065,286686,286918,287249,287569,287767,288153,288358,289609	281805,282456,282670,284013,284241,285828,285999,286194,286812,286980,287410,287696,287869,288283,288450,290037	pus7	pseudouridylate synthase 7 homolog	NM_001122698	NM_001122698-63|chr25(+)
NM_001089331-64|chr25(+)	chr25	+	3414761	3425389	3414878	3424850	8	3414761,3416021,3418005,3418823,3421987,3422165,3422958,3424823	3414953,3416688,3418099,3419004,3422071,3422236,3423094,3425389	zgc:162618	uncharacterized protein LOC325751	NM_001089331	NM_001089331-64|chr25(+)
NM_001045173-65|chr25(+)	chr25	+	12587677	12618682	12587778	12613728	13	12587677,12590448,12597185,12598632,12598798,12598947,12600612,12600808,12600943,12604222,12604392,12610745,12613573	12587799,12590554,12597306,12598695,12598859,12599091,12600716,12600865,12600995,12604270,12604428,12610797,12618682	ndrg4	N-myc downstream regulated gene 4	NM_001045173	NM_001045173-65|chr25(+)
NM_200181-66|chr25(+)	chr25	+	20013088	20026070	20013170	20025548	10	20013088,20015207,20015377,20018504,20019181,20019963,20021708,20021895,20022245,20025339	20013215,20015276,20015450,20018648,20019315,20020122,20021812,20022011,20022320,20026070	sh3gl3	SH3-domain GRB2-like 3	NM_200181	NM_200181-66|chr25(+)
NM_001245960-67|chr25(+)	chr25	+	28277055	28358445	28277055	28358445	19	28277055,28291396,28303605,28303808,28304517,28306894,28309865,28310258,28344330,28350117,28350306,28350455,28353873,28355137,28355409,28355677,28357656,28358129,28358338	28277175,28291494,28303713,28303847,28304623,28307025,28310156,28310414,28344500,28350209,28350330,28350488,28354030,28355328,28355545,28355760,28357751,28358235,28358445	pot1	protection of telomeres 1 homolog	NM_001245960	NM_001245960-67|chr25(+)
NM_001245960-68|chr25(+)	chr25	+	28277055	28358445	28277055	28358445	15	28277055,28290895,28291396,28303605,28344330,28350117,28350306,28350455,28353873,28355137,28355409,28355677,28357656,28358129,28358338	28277175,28290974,28291494,28303713,28344500,28350209,28350330,28350488,28354030,28355328,28355545,28355760,28357751,28358235,28358445	pot1	protection of telomeres 1 homolog	NM_001245960	NM_001245960-68|chr25(+)
NM_200425-69|chr25(+)	chr25	+	36976594	36993224	36976695	36992631	9	36976594,36978674,36980789,36983732,36987406,36988668,36990686,36990802,36992607	36976816,36978838,36980934,36983915,36987586,36988831,36990725,36991025,36993224	lsm14aa	protein LSM14 homolog A	NM_200425	NM_200425-69|chr25(+)
NM_001040635-70|chr25(+)	chr25	+	38456030	38470979	38456124	38470118	29	38456030,38456316,38456783,38456959,38457186,38457485,38460019,38460284,38460531,38460990,38461211,38461658,38461842,38462025,38462552,38462851,38463460,38463931,38464722,38465356,38467111,38467508,38467742,38467960,38468116,38468288,38468457,38470034,38470827	38456185,38456441,38456847,38457090,38457247,38457595,38460096,38460426,38460665,38461101,38461284,38461722,38461892,38462102,38462648,38462970,38463532,38463998,38464880,38465456,38467251,38467624,38467872,38468023,38468213,38468364,38468590,38470118,38470979	fanca	Fanconi anemia, complementation group A	NM_001040635	NM_001040635-70|chr25(+)
NM_001040635-71|chr25(+)	chr25	+	38456030	38470979	38456124	38470118	31	38456030,38456316,38456783,38456959,38457186,38457485,38457729,38459754,38460019,38460284,38460531,38460990,38461211,38461658,38461842,38462025,38462552,38462851,38463460,38463931,38464722,38465356,38467111,38467508,38467742,38467960,38468116,38468288,38468457,38470034,38470827	38456185,38456441,38456847,38457090,38457247,38457595,38457822,38459867,38460096,38460426,38460665,38461101,38461284,38461722,38461892,38462102,38462648,38462970,38463532,38463998,38464880,38465456,38467251,38467624,38467872,38468023,38468213,38468364,38468590,38470118,38470979	fanca	Fanconi anemia, complementation group A	NM_001040635	NM_001040635-71|chr25(+)
NM_001040635-72|chr25(+)	chr25	+	38456030	38470979	38456124	38470118	31	38456030,38456316,38456783,38456959,38457186,38457485,38457729,38457939,38459754,38460019,38460284,38460531,38460990,38461211,38461658,38461842,38462025,38462552,38462851,38463460,38463931,38465356,38467111,38467508,38467742,38467960,38468116,38468288,38468457,38470034,38470827	38456185,38456441,38456847,38457090,38457247,38457595,38457822,38457994,38459867,38460096,38460426,38460665,38461101,38461284,38461722,38461892,38462102,38462648,38462970,38463532,38463998,38465456,38467251,38467624,38467872,38468023,38468213,38468364,38468590,38470118,38470979	fanca	Fanconi anemia, complementation group A	NM_001040635	NM_001040635-72|chr25(+)
NM_001040635-73|chr25(+)	chr25	+	38456030	38470979	38456124	38470118	31	38456030,38456316,38456783,38456959,38457186,38457485,38457729,38457939,38459754,38460019,38460284,38460531,38460990,38461211,38461658,38461842,38462025,38462552,38462851,38463460,38463931,38464722,38465356,38467111,38467742,38467960,38468116,38468288,38468457,38470034,38470827	38456185,38456441,38456847,38457090,38457247,38457595,38457822,38457994,38459867,38460096,38460426,38460665,38461101,38461284,38461722,38461892,38462102,38462648,38462970,38463532,38463998,38464880,38465456,38467251,38467872,38468023,38468213,38468364,38468590,38470118,38470979	fanca	Fanconi anemia, complementation group A	NM_001040635	NM_001040635-73|chr25(+)
NM_001040635-74|chr25(+)	chr25	+	38456030	38470979	38456124	38470118	31	38456030,38456316,38456783,38456959,38457186,38457485,38457729,38457939,38459754,38460019,38460284,38460531,38460990,38461211,38461658,38461842,38462025,38462552,38462851,38463460,38463931,38464722,38465356,38467111,38467508,38467960,38468116,38468288,38468457,38470034,38470827	38456185,38456441,38456847,38457090,38457247,38457595,38457822,38457994,38459867,38460096,38460426,38460665,38461101,38461284,38461722,38461892,38462102,38462648,38462970,38463532,38463998,38464880,38465456,38467251,38467624,38468023,38468213,38468364,38468590,38470118,38470979	fanca	Fanconi anemia, complementation group A	NM_001040635	NM_001040635-74|chr25(+)
NM_001040635-75|chr25(+)	chr25	+	38456030	38470979	38456124	38470118	30	38456030,38456316,38456783,38456959,38457186,38457485,38457729,38457939,38459754,38460019,38460284,38460531,38460990,38461211,38461658,38461842,38462025,38462552,38462851,38463460,38463931,38464722,38465356,38467111,38467508,38467742,38468288,38468457,38470034,38470827	38456185,38456441,38456847,38457090,38457247,38457595,38457822,38457994,38459867,38460096,38460426,38460665,38461101,38461284,38461722,38461892,38462102,38462648,38462970,38463532,38463998,38464880,38465456,38467251,38467624,38467872,38468364,38468590,38470118,38470979	fanca	Fanconi anemia, complementation group A	NM_001040635	NM_001040635-75|chr25(+)
NM_001040635-76|chr25(+)	chr25	+	38456030	38470979	38456124	38470118	31	38456030,38456316,38456783,38456959,38457186,38457485,38457729,38457939,38459754,38460019,38460284,38460531,38460990,38461211,38461658,38461842,38462025,38462552,38462851,38463460,38463931,38464722,38465356,38467111,38467508,38467742,38467960,38468288,38468457,38470034,38470827	38456185,38456441,38456847,38457090,38457247,38457595,38457822,38457994,38459867,38460096,38460426,38460665,38461101,38461284,38461722,38461892,38462102,38462648,38462970,38463532,38463998,38464880,38465456,38467251,38467624,38467872,38468023,38468364,38468590,38470118,38470979	fanca	Fanconi anemia, complementation group A	NM_001040635	NM_001040635-76|chr25(+)
NM_001077726-77|Zv9_NA925(+)	Zv9_NA925	+	4419	6296	4419	5621	3	4419,4622,5379	4479,4732,6296	zgc:154064	spermatogenesis-associated serine-rich protein 2	NM_001077726	NM_001077726-77|Zv9_NA925(+)
NM_001079678-78|Zv9_NA928(+)	Zv9_NA928	+	7117	29454	7117	29184	2	7117,28942	7227,29454	mib2	E3 ubiquitin-protein ligase MIB2	NM_001079678	NM_001079678-78|Zv9_NA928(+)
NM_001020581-79|Zv9_scaffold3562(+)	Zv9_scaffold3562	+	11559	54532	17239	54145	10	11559,17213,23809,32196,38615,42342,43670,45218,50842,54062	11625,17484,23969,32274,38819,42471,43783,45318,50912,54532	rab3ip	rab-3A-interacting protein	NM_001020581	NM_001020581-79|Zv9_scaffold3562(+)
